H,M
1,0
-1,0
0,1
0,-1
0.999999457,0.014144856
0.999999102,0.023431952
0.999998914,0.044245068
0.999998392,0.090503791
0.999996618,0.190523556
0.999990856,0.369292825
0.99997666,0.377246285
0.999962609,0.391768618
0.999922275,0.422907307
0.999843924,0.487776291
0.999528075,0.606122624
0.998532994,0.74829532
0.998284933,0.753531446
0.99791063,0.762229487
0.997250144,0.779070972
0.996047733,0.809845318
0.993790929,0.857666789
0.990770319,0.904807732
0.989067674,0.915112846
0.987469832,0.924723081
0.984952211,0.939555926
0.981609511,0.958132646
0.9791521,0.97039652
0.977035923,0.977947135
0.975083443,0.984740752
0.972201123,0.994578167
0.968888276,1.005644379
0.966539217,1.013254172
0.964346944,1.019196258
0.96242841,1.024292132
0.959705547,1.031485533
0.956454393,1.040070949
0.954139321,1.046158666
0.952227342,1.050292642
0.950146532,1.054773523
0.947679016,1.060151566
0.945277012,1.065508932
0.94476586,1.066657665
0.942963548,1.069786608
0.941276832,1.072700284
0.939560659,1.07575148
0.938074989,1.078530577
0.937764235,1.079128042
0.935994533,1.081603579
0.934885568,1.083128271
0.933725433,1.084768351
0.932687553,1.086340011
0.932045961,1.087386013
0.928486119,1.091412178
0.927413584,1.092665751
0.926636542,1.093703167
0.922928118,1.097068083
0.921927463,1.098006986
0.921238396,1.098760092
0.916922807,1.101834075
0.915845282,1.102614483
0.915154003,1.103201461
0.909931432,1.106004681
0.908653363,1.106682002
0.907894421,1.107153652
0.900845134,1.109805805
0.899012259,1.110456507
0.898002877,1.110867968
0.886674702,1.113450366
0.88298822,1.11415796
0.880817805,1.114611131
0.854534493,1.116911746
0.839376641,1.11762436
0.825517171,1.118082997
0.701786775,1.113262194
0.607020631,1.106824543
0.504474422,1.097380823
0.452516238,1.090654317
0.398496576,1.082966064
0.306159618,1.068218898
0.180638855,1.044332701
0.094932406,1.024948716
0.047263202,1.012278431
-0.000934392,0.998759053
-0.079639799,0.975094747
-0.177236132,0.942231638
-0.236272222,0.919961813
-0.347158272,0.871466645
-0.415321227,0.838159336
-0.467626136,0.810274811
-0.497884366,0.792536757
-0.526111431,0.775324185
-0.566530373,0.749511372
-0.606100582,0.722532981
-0.623817767,0.70978798
-0.645439035,0.693131905
-0.665234024,0.677322369
-0.692764611,0.654448276
-0.718103531,0.632251563
-0.728374118,0.622874806
-0.745174469,0.60665574
-0.760013571,0.591735315
-0.780428962,0.570310366
-0.801325736,0.547468299
-0.812164261,0.535344856
-0.826328869,0.518654616
-0.839172882,0.50304362
-0.856449917,0.481390214
-0.871982615,0.461475073
-0.877333329,0.454584281
-0.880375358,0.45023177
-0.88509091,0.44335194
-0.893024359,0.43148387
-0.903758228,0.414853403
-0.913226659,0.399507822
-0.91723569,0.392768067
-0.919632078,0.388588429
-0.923243277,0.382155323
-0.928921321,0.371722701
-0.935636012,0.358798975
-0.940619165,0.348734528
-0.942509974,0.344804737
-0.944450868,0.340626228
-0.947465319,0.333998384
-0.952528305,0.322550925
-0.959180553,0.306921778
-0.964414251,0.293929042
-0.966227481,0.289232295
-0.967602984,0.285512432
-0.969012766,0.281608674
-0.971333161,0.274974464
-0.974258342,0.266201009
-0.976625064,0.258673169
-0.977704488,0.255115326
-0.977870335,0.254563434
-0.978960866,0.250748751
-0.980103193,0.24662703
-0.982143211,0.239037651
-0.985212568,0.227145443
-0.988372052,0.214177457
-0.989918412,0.207393936
-0.990121274,0.206476783
-0.990861656,0.202914009
-0.991577758,0.199308223
-0.992644928,0.193611065
-0.993741409,0.187179112
-0.994450141,0.182627843
-0.994750499,0.18060247
-0.994801856,0.180256698
-0.996221972,0.168748622
-0.997408057,0.158098853
-0.998964271,0.143256011
-0.999667617,0.135831443
-0.999722169,0.135222963
-0.999892776,0.132279082
-0.999970062,0.130224209
-0.999997683,0.12870233
-0.999999979,0.128232315
-1.000000021,0.128175503
-1.000000021,0.128172607
-1.000000021,0.128173035
0.61922421,1.107337695
0.659646999,1.109383679
